,Unnamed: 0,Ежемесячный Фин. Отчет Университета,Unnamed: 2,Unnamed: 3,Unnamed: 4,"2024
Остаток","2025
Январ","2025
Февраль","2025
Март","2025
Апрель","2025
Май","2025
Июнь","2025
Июль","2025
Август","2025
Сентябрь","2025
Октябрь","2025
Ноябрь","2025
Декабрь","Grand Total
2024-2025"
0,,,,,,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS
181,4.4.1),Мажбуриятлар бўйича,49.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,4.4.2),Ички,49.0,11.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,4.4.2.1),Кредит ва қарзлар,49.0,11.0,100.0,,,,,,,,,,,,,,0
184,4.4.2.2),Депозит ,49.0,11.0,100.0,,,,,,,,,,,,,,0
185,4.4.3),Мажбуриятлар бўйича,49.0,20.0,0.0,,,,,,,,,,,,,,0
186,4.4.4),Ички,49.0,21.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,4.4.4.1),Кредит ва қарзлар,49.0,21.0,200.0,,,,,,,,,,,,,,0
188,4.4.4.2),Молиявий ташкилотлар кредитларини қайтариш,49.0,21.0,260.0,,,,,,,,,,,,,,0
189,4.4.4.3),Бошқа ички кредитларни қайтариш,49.0,21.0,290.0,,,,,,,,,,,,,,0
190,1),I гуруҳ харажатлари бўйича жами,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2),II гуруҳ харажатлари бўйича жами,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,3),III гуруҳ харажатлари бўйича жами,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,4),IV Гуруҳ бошка харажатлари бўйича жами,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,,Итого расходов,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,1-4),Баланс на сегодня,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
